1	confirm	確認する	Please confirm your reservation.
1	attend	出席する	Several employees will attend the meeting.
1	submit	提出する	Submit the form by Friday.
1	available	利用できる、空いている	A room is available this afternoon.
1	reservation	予約	Your reservation has been confirmed.
1	deadline	締め切り	The deadline is next Monday.
1	postpone	延期する	They postponed the conference.
1	notify	知らせる	Notify the staff of any changes.
1	purchase	購入する	Customers can purchase tickets online.
1	invoice	請求書	The invoice is attached to the email.
1	delivery	配達、納品	Delivery is scheduled for tomorrow.
1	shipment	発送、発送品	The shipment arrived this morning.
1	applicant	応募者	Each applicant will receive an email.
1	position	職、役職	She applied for the position.
1	interview	面接	The interview begins at ten.
1	department	部署	Contact the sales department.
1	supervisor	上司	Ask your supervisor for approval.
1	colleague	同僚	A colleague shared the report.
1	agenda	議題	The agenda includes three items.
1	arrange	手配する	We arranged transportation for guests.
1	cancel	取り消す	Please cancel the appointment.
1	reschedule	日程を変更する	We need to reschedule the meeting.
1	approve	承認する	The manager approved the request.
1	request	依頼する、依頼	The client requested a refund.
1	refund	返金	A refund will be issued soon.
1	discount	割引	Members receive a discount.
1	receipt	領収書	Keep your receipt for your records.
1	budget	予算	The project is within budget.
1	expense	経費	Travel expenses are covered.
1	equipment	機器、設備	The new equipment arrived today.
1	facility	施設	The facility closes at six.
1	maintenance	保守、整備	The elevator is under maintenance.
1	repair	修理する	A technician repaired the printer.
1	policy	方針、規定	Read the company's travel policy.
1	procedure	手順	Follow the safety procedure.
1	contract	契約書、契約	Both parties signed the contract.
1	agreement	合意、契約	They reached an agreement.
1	attach	添付する	Attach your résumé to the email.
1	review	見直す、検討する	Please review the proposal.
1	update	更新する	Update your contact information.
1	announce	発表する	The company announced a new service.
1	participate	参加する	All members may participate.
1	provide	提供する	The hotel provides free breakfast.
1	require	必要とする	The job requires experience.
1	include	含む	The price includes tax.
1	complete	完了する	Complete the survey today.
1	replace	交換する	They replaced the broken monitor.
1	inspect	点検する	Workers inspect the machines daily.
1	operate	操作する、運営する	Only trained staff may operate it.
1	reserve	予約する	Reserve a seat in advance.
2	inventory	在庫	The store checks its inventory weekly.
2	warehouse	倉庫	The boxes are in the warehouse.
2	supplier	供給業者	Our supplier changed its prices.
2	vendor	販売業者	The vendor sent a new catalog.
2	manufacturer	製造業者	The manufacturer offers a warranty.
2	productivity	生産性	The new system improved productivity.
2	assignment	担当業務	She finished the assignment early.
2	proposal	提案書	The committee reviewed the proposal.
2	presentation	発表	His presentation starts at noon.
2	conference	会議、学会	The conference attracted many visitors.
2	seminar	セミナー	Register for the training seminar.
2	workshop	研修会	The workshop covers customer service.
2	register	登録する	Register online before Thursday.
2	registration	登録	Registration opens next week.
2	invitation	招待状	She accepted the invitation.
2	attendance	出席、出席者数	Attendance was higher this year.
2	participant	参加者	Each participant received a badge.
2	venue	会場	The venue is near the station.
2	accommodation	宿泊施設	Accommodation is included in the package.
2	itinerary	旅程表	Check the itinerary before departure.
2	departure	出発	Departure is scheduled for eight.
2	arrival	到着	We expect your arrival at noon.
2	commute	通勤する	Many employees commute by train.
2	reimburse	払い戻す	The company will reimburse travel costs.
2	reimbursement	払い戻し	Submit receipts for reimbursement.
2	compensation	報酬、補償	The package includes additional compensation.
2	salary	給与	The salary is listed in the advertisement.
2	benefit	福利厚生、利益	Health insurance is an employee benefit.
2	candidate	候補者	Three candidates were interviewed.
2	recruit	採用する	The firm plans to recruit engineers.
2	hire	雇う	The company will hire two assistants.
2	qualified	資格のある	Only qualified applicants will be contacted.
2	reference	推薦人、照会先	Please provide two professional references.
2	experience	経験	Previous experience is preferred.
2	responsibility	責任、職務	Managing schedules is her responsibility.
2	temporary	臨時の	They need temporary staff.
2	permanent	常勤の、恒久的な	He accepted a permanent position.
2	branch	支店	The branch opens at nine.
2	headquarters	本社	The company's headquarters is downtown.
2	annual	年に一度の	The annual report is now available.
2	quarterly	四半期ごとの	Quarterly results will be released soon.
2	monthly	月ごとの	The monthly fee includes support.
2	prior	前の、事前の	Prior experience is not required.
2	additional	追加の	Additional information is on the website.
2	recent	最近の	The recent survey showed an increase.
2	promptly	速やかに	Please reply promptly.
2	approximately	およそ	The trip takes approximately an hour.
2	currently	現在	The position is currently vacant.
2	frequently	頻繁に	The buses run frequently.
2	especially	特に	This offer is especially popular.
3	quotation	見積書	The contractor sent a quotation.
3	estimate	見積もり	We received an estimate for the repairs.
3	bid	入札、入札する	Three firms submitted bids.
3	negotiate	交渉する	They negotiated a lower price.
3	transaction	取引	The transaction was completed online.
3	payment	支払い	Payment is due on Friday.
3	deposit	保証金、預け入れる	A deposit is required to book the room.
3	balance	残高	Check your account balance.
3	fee	料金	The registration fee is nonrefundable.
3	charge	料金を請求する	The hotel charges for parking.
3	rate	料金、率	The rate includes breakfast.
3	revenue	収益	Revenue increased last quarter.
3	profit	利益	The company reported a profit.
3	forecast	予測、予測する	The sales forecast was revised.
3	demand	需要	Demand for the product has grown.
3	survey	調査	Customers completed a short survey.
3	feedback	意見、反応	We welcome your feedback.
3	complaint	苦情	The manager handled the complaint.
3	resolve	解決する	The technician resolved the issue.
3	issue	問題、議題	Please report any technical issues.
3	defect	欠陥	The product had a minor defect.
3	warranty	保証	The warranty covers parts and labor.
3	replacement	交換品	A replacement will arrive tomorrow.
3	return	返品する	You may return unused items.
3	stock	在庫	The item is currently out of stock.
3	outlet	販売店	This outlet sells office supplies.
